Well,Omit,Sample,Target,Dye,Task,Cq,Quantity
A1,FALSE,Lung_1_G2,atpe,VIC,Unknown,31.990515212134298,0.13292656844491202
A2,FALSE,Lung_2_G2,atpe,VIC,Unknown,Undetermined,
A3,FALSE,Lung_3_G3,atpe,VIC,Unknown,36.64080462570071,0.008921783
A4,FALSE,Lung_4_G3,atpe,VIC,Unknown,36.98047301647986,0.007324217
A5,FALSE,Lung_5_G3,atpe,VIC,Unknown,36.35695984250785,0.010521050930757576
A6,FALSE,Lung_6_G4,atpe,VIC,Unknown,34.87124470428965,0.024938515
A7,FALSE,Lung_7_G4,atpe,VIC,Unknown,36.02868488840032,0.012731374
A8,FALSE,Lung_8_G5,atpe,VIC,Unknown,Undetermined,
A9,FALSE,Lung_9_G5,atpe,VIC,Unknown,32.81237638957971,0.082466068
A10,FALSE,Lung_10_G5,atpe,VIC,Unknown,Undetermined,
A11,FALSE,,atpe,VIC,Unknown,Undetermined,
A12,FALSE,,atpe,VIC,Unknown,Undetermined,
B1,FALSE,Lung_1_G2,atpe,VIC,Unknown,31.355886954525495,0.19218247328383034
B2,FALSE,Lung_2_G2,atpe,VIC,Unknown,35.22405758,0.020317210376854668
B3,FALSE,Lung_3_G3,atpe,VIC,Unknown,35.34915033755554,0.018893224188089076
B4,FALSE,Lung_4_G3,atpe,VIC,Unknown,38.521865351463696,0.002991601
B5,FALSE,Lung_5_G3,atpe,VIC,Unknown,36.461250282761426,0.009902596
B6,FALSE,Lung_6_G4,atpe,VIC,Unknown,Undetermined,
B7,FALSE,Lung_7_G4,atpe,VIC,Unknown,36.71063523733119,0.008567123
B8,FALSE,Lung_8_G5,atpe,VIC,Unknown,Undetermined,
B9,FALSE,Lung_9_G5,atpe,VIC,Unknown,32.610362350233146,0.092733946
B10,FALSE,Lung_10_G5,atpe,VIC,Unknown,37.42290187796288,0.005664306
B11,FALSE,,atpe,VIC,Unknown,Undetermined,
B12,FALSE,,atpe,VIC,Unknown,Undetermined,
C1,FALSE,Lung_1_G2,atpe,VIC,Unknown,31.56868555867883,0.16983595111857602
C2,FALSE,Lung_2_G2,atpe,VIC,Unknown,Undetermined,
C3,FALSE,Lung_3_G3,atpe,VIC,Unknown,35.08871573443582,0.021978987688856182
C4,FALSE,Lung_4_G3,atpe,VIC,Unknown,38.58770118331373,0.002879353
C5,FALSE,Lung_5_G3,atpe,VIC,Unknown,39.01450241086412,0.002247102
C6,FALSE,Lung_6_G4,atpe,VIC,Unknown,35.23686362894507,0.020166633667315793
C7,FALSE,Lung_7_G4,atpe,VIC,Unknown,Undetermined,
C8,FALSE,Lung_8_G5,atpe,VIC,Unknown,Undetermined,
C9,FALSE,Lung_9_G5,atpe,VIC,Unknown,33.148191257375814,0.067851115
C10,FALSE,Lung_10_G5,atpe,VIC,Unknown,Undetermined,
C11,FALSE,,atpe,VIC,Unknown,Undetermined,
C12,FALSE,,atpe,VIC,Unknown,Undetermined,
D1,FALSE,Spleen_1_G2,atpe,VIC,Unknown,29.011710759979096,0.7500583371818156
D2,FALSE,Spleen_2_G2,atpe,VIC,Unknown,29.19952236165699,0.672534446
D3,FALSE,Spleen_3_G3,atpe,VIC,Unknown,28.356470884592547,1.0974806214658688
D4,FALSE,Spleen_4_G3,atpe,VIC,Unknown,28.745962667388632,0.8752600792244907
D5,FALSE,Spleen_5_G3,atpe,VIC,Unknown,32.48113445979196,0.099963152
D6,FALSE,Spleen_6_G4,atpe,VIC,Unknown,28.300918817696605,1.1334734662600494
D7,FALSE,Spleen_7_G4,atpe,VIC,Unknown,28.73256248365101,0.8820997035317525
D8,FALSE,Spleen_8_G5,atpe,VIC,Unknown,31.849986313868108,0.14423277984675323
D9,FALSE,Spleen_9_G5,atpe,VIC,Unknown,29.58480041022792,0.5376724954432326
D10,FALSE,Spleen_10_G5,atpe,VIC,Unknown,29.964929018465284,0.4311418616180126
D11,FALSE,,atpe,VIC,Unknown,Undetermined,
D12,FALSE,,atpe,VIC,Unknown,Undetermined,
E1,FALSE,Spleen_1_G2,atpe,VIC,Unknown,29.10937664138735,0.7086898404838181
E2,FALSE,Spleen_2_G2,atpe,VIC,Unknown,29.760871151171266,0.48539942553204857
E3,FALSE,Spleen_3_G3,atpe,VIC,Unknown,27.931741541813523,1.404579155969947
