"Standard_Name","Standard_C","Log_Conc","Index","Predicted_Log_Conc","Predicted_Conc"
"S0",3.82,0.582063362911709,1,0.568782005815769,3.70494705224776
"S1",1.7,0.230448921378274,2,0.241347303951528,1.74320034805575
"S2",0.767,-0.115204636051019,3,-0.0860873979127127,0.820186472467425
"S3",0.421,-0.375717904164332,4,-0.413522099776954,0.385902773808444
"S4",0.177,-0.752026733638193,5,-0.740956801641195,0.181569625727966
"S5",NA,NA,6,-1.06839150350544,0.0854296243109106
"S6",NA,NA,7,-1.39582620536968,0.0401951630436127
"S7",NA,NA,8,-1.72326090723392,0.0189120711361511
"S8",NA,NA,9,-2.05069560909816,0.00889824564887979
"S9",NA,NA,10,-2.3781303109624,0.00418667924088203
"S10",NA,NA,11,-2.70556501282664,0.00196985830215186
"S11",NA,NA,12,-3.03299971469088,0.000926830432259033
"S12",NA,NA,13,-3.36043441655512,0.000436079412018156
"S13",NA,NA,14,-3.68786911841936,0.000205178042247271
"S14",NA,NA,15,-4.0153038202836,9.65375293128269e-05
"S15",NA,NA,16,-4.34273852214784,4.54215005843241e-05
"S16",NA,NA,17,-4.67017322401209,2.13710950551293e-05
"S17",NA,NA,18,-4.99760792587633,1.00552315088638e-05
